feature,missing_rate
DebtChangeYoY,0.27249357326478146
fcfMargin_roll8_mean,0.2365038560411311
fcfMargin_roll8_std,0.2365038560411311
debtToAssets_roll8_std,0.23136246786632392
debtToEquity_roll8_mean,0.23136246786632392
debtToEquity_roll8_std,0.23136246786632392
debtToAssets_roll8_mean,0.23136246786632392
AccrualsTA,0.20565552699228792
fcfMargin,0.20565552699228792
OCFtoNI,0.20565552699228792
freeCashFlow,0.20051413881748073
longTermDebt,0.1928020565552699
debtToEquity,0.1928020565552699
debtToAssets,0.1928020565552699
grossMarginYoY,0.056555269922879174
netIncomeYoY,0.056555269922879174
revYoY,0.056555269922879174
AssetGrowthYoY,0.056555269922879174
opMarginYoY,0.056555269922879174
ROA_YoY,0.056555269922879174
